,Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Period
464,22,France,127.02,86.87,52.05,81.58,101.95,10.31,30.31,48.51,-,2014-mid
465,23,Portugal,122.57,51.81,65.41,66.04,67.78,8.70,28.97,30.87,-,2014-mid
466,24,Slovenia,121.30,57.81,68.77,55.88,74.96,11.19,22.00,32.66,-,2014-mid
467,25,Spain,121.24,71.23,65.94,74.23,75.68,10.38,30.89,50.22,-,2014-mid
468,26,Czech Republic,119.90,62.03,65.97,66.26,56.49,10.33,30.88,42.35,-,2014-mid
469,27,Lithuania,114.55,42.22,65.16,69.94,59.68,12.98,23.46,26.87,-,2014-mid
470,28,Kuwait,112.25,71.92,58.45,64.48,99.82,6.33,17.00,59.63,-,2014-mid
471,29,Puerto Rico,111.13,81.51,33.33,59.31,73.71,5.28,28.40,50.53,-,2014-mid
472,30,South Korea,110.44,78.08,79.68,82.14,91.41,12.33,31.33,74.85,-,2014-mid
473,31,South Africa,109.18,94.77,21.14,60.92,49.55,3.32,42.41,59.16,-,2014-mid
474,32,Croatia,105.50,45.99,70.58,57.66,68.66,13.31,32.89,30.46,-,2014-mid
475,33,Israel,104.75,76.71,68.68,77.35,91.55,11.57,41.42,64.99,-,2014-mid
476,34,Slovakia,103.92,50.41,66.43,58.84,61.02,9.49,37.50,40.81,-,2014-mid
477,35,Uruguay,100.17,39.10,56.18,67.92,72.63,10.84,45.00,21.33,-,2014-mid
478,36,Poland,97.91,56.42,65.82,54.26,53.36,11.05,34.35,50.05,-,2014-mid
479,37,Taiwan,94.01,65.72,78.56,82.32,59.37,24.14,25.14,64.07,-,2014-mid
480,38,Singapore,93.84,65.17,81.18,62.97,100.98,21.66,44.36,43.01,-,2014-mid
481,39,Panama,93.65,38.23,57.47,85.56,51.61,11.14,27.00,49.36,-,2014-mid
482,40,Italy,88.38,72.47,52.87,66.02,95.76,11.61,38.03,60.37,-,2014-mid
483,41,Hungary,85.23,41.86,59.65,49.74,56.91,9.59,30.09,45.63,-,2014-mid
484,42,Greece,83.03,44.56,58.99,57.84,80.79,10.87,33.21,45.18,-,2014-mid
485,43,Malaysia,78.94,67.54,31.40,68.86,49.99,8.27,41.09,64.49,-,2014-mid
486,44,Hong Kong,77.52,68.02,81.18,80.40,75.86,29.39,42.33,61.47,-,2014-mid
487,45,Mexico,76.62,52.55,47.20,69.79,47.77,6.53,38.86,69.19,-,2014-mid
488,46,Argentina,74.39,55.28,40.21,75.33,64.87,10.05,44.00,58.62,-,2014-mid
489,47,Belarus,72.85,32.75,71.01,48.02,50.34,16.65,24.83,46.37,-,2014-mid
490,48,India,72.60,59.26,54.74,63.97,27.72,10.39,46.67,75.04,-,2014-mid
491,49,Bosnia And Herzegovina,69.39,41.68,53.87,54.42,48.97,12.41,22.56,59.02,-,2014-mid
492,50,Romania,66.71,35.53,70.66,46.72,49.20,12.74,31.35,59.18,-,2014-mid
493,51,Serbia,66.56,36.59,58.44,54.68,50.74,16.41,24.57,50.95,-,2014-mid
494,52,Bulgaria,65.62,36.24,59.01,59.64,49.65,9.49,34.32,63.63,-,2014-mid
495,53,Georgia,65.02,23.99,80.61,76.85,42.96,15.60,38.00,64.05,-,2014-mid
496,54,Turkey,64.51,49.61,58.42,60.25,53.64,7.22,50.71,73.52,-,2014-mid
497,55,Chile,61.89,51.08,55.24,60.56,57.92,10.90,40.55,72.24,-,2014-mid
498,56,Thailand,46.94,33.33,62.99,84.97,45.94,21.84,33.00,71.76,-,2014-mid
499,57,Kazakhstan,43.51,36.57,54.21,58.56,55.01,12.40,36.50,73.95,-,2014-mid
500,58,Colombia,40.15,32.64,43.27,67.92,50.14,14.26,45.88,62.42,-,2014-mid
501,59,Jordan,38.31,35.76,52.55,74.10,61.79,8.33,48.50,85.65,-,2014-mid
502,60,Ecuador,37.46,25.83,41.74,63.14,45.56,13.89,45.67,56.53,-,2014-mid
503,61,Philippines,32.71,31.04,57.98,73.15,41.79,19.39,49.50,71.50,-,2014-mid
504,62,Brazil,29.72,38.37,30.35,51.15,66.24,16.59,44.84,53.13,-,2014-mid
505,63,Pakistan,23.52,30.53,39.40,52.23,31.47,13.76,25.55,81.08,-,2014-mid
506,64,Russia,23.02,36.08,47.71,52.71,61.75,14.65,50.19,73.46,-,2014-mid
507,65,China,21.18,40.17,72.70,61.49,52.64,28.09,32.62,86.24,-,2014-mid
508,66,Lebanon,20.88,40.14,54.84,61.30,69.03,18.11,32.43,89.79,-,2014-mid
509,67,Ukraine,20.07,27.14,49.84,46.89,44.33,16.72,39.09,71.03,-,2014-mid
510,68,Indonesia,17.97,23.06,51.60,64.45,40.41,20.24,40.03,72.45,-,2014-mid
511,69,Kenya,5.38,27.26,20.95,57.13,53.78,12.31,67.14,62.20,-,2014-mid
512,70,Cambodia,2.46,12.31,59.24,54.17,54.18,20.30,33.33,78.26,-,2014-mid
513,71,Egypt,0.93,24.68,45.10,58.29,36.22,10.80,60.67,92.55,-,2014-mid
514,72,Vietnam,-1.29,22.58,49.83,35.42,44.20,19.10,31.00,81.40,-,2014-mid
515,73,Bolivia,-1.48,33.05,31.72,45.68,42.33,11.42,63.00,83.34,-,2014-mid
516,74,Iran,-11.72,27.42,48.91,50.00,47.74,21.49,54.45,86.08,-,2014-mid
517,75,Mongolia,-39.97,21.71,29.75,27.23,53.86,18.83,36.86,95.75,-,2014-mid
518,76,Venezuela,-59.63,12.16,17.45,42.82,119.05,28.22,28.88,76.60,-,2014-mid
519,1,Switzerland,206.23,138.05,68.21,67.95,143.88,7.05,24.55,26.80,-,2014
520,2,United States,195.55,132.91,49.85,68.58,77.39,2.43,37.13,35.13,-,2014
521,3,Germany,192.69,112.28,72.86,75.26,87.14,5.60,36.07,30.20,-,2014
522,4,Sweden,180.92,106.11,61.72,75.22,103.68,9.41,34.07,17.51,-,2014
523,5,Finland,178.88,97.90,70.84,68.69,103.28,7.83,37.00,16.68,-,2014
524,6,Denmark,178.55,100.66,70.73,85.62,114.87,6.37,25.00,34.76,-,2014
525,7,Canada,178.29,105.53,63.71,71.94,87.90,5.57,39.17,27.70,-,2014
526,8,Australia,175.98,104.20,58.77,73.55,108.51,7.44,36.25,19.38,-,2014
527,9,United Arab Emirates,173.27,110.64,79.21,60.65,68.25,5.26,28.20,53.84,-,2014
528,10,Austria,171.82,91.53,74.17,79.67,89.50,9.17,24.50,31.68,-,2014
529,11,New Zealand,168.56,87.58,57.15,77.83,104.48,5.30,26.57,21.02,-,2014
530,12,Japan,168.47,99.64,81.90,85.03,94.13,8.34,47.64,40.78,-,2014
531,13,Norway,168.41,94.40,66.27,75.71,144.45,7.42,24.50,22.57,-,2014
532,14,Netherlands,160.98,97.54,62.93,66.17,98.82,6.08,35.06,32.40,-,2014
533,15,United Kingdom,150.97,94.34,57.38,73.52,100.11,7.74,37.68,33.81,-,2014
534,16,Estonia,145.40,48.67,70.93,76.34,67.33,10.19,24.71,13.43,-,2014
535,17,Ireland,142.35,94.64,46.41,42.57,106.61,5.74,22.53,29.32,-,2014
536,18,Kuwait,141.37,92.46,63.56,66.20,74.08,6.78,17.00,59.99,-,2014
537,19,Saudi Arabia,139.88,100.03,70.62,50.42,68.14,3.25,23.33,71.54,-,2014
538,20,France,136.31,92.29,52.72,82.28,100.21,10.32,28.10,46.92,-,2014
539,21,Belgium,134.71,87.93,58.47,78.04,100.04,5.98,25.96,56.16,-,2014
540,22,Slovenia,125.56,60.36,66.79,61.31,75.37,11.09,20.67,32.97,-,2014
541,23,Portugal,124.71,54.65,64.94,64.80,69.30,8.41,28.91,30.90,-,2014
542,24,Puerto Rico,123.64,85.28,40.70,59.93,76.50,5.10,28.40,47.41,-,2014
543,25,Spain,123.64,72.48,67.58,75.17,77.18,10.45,32.03,49.76,-,2014
544,26,Czech Republic,122.99,62.32,66.12,66.27,56.59,10.43,33.08,38.34,-,2014
545,27,Lithuania,121.91,43.24,65.29,69.26,59.96,12.91,22.00,21.13,-,2014
546,28,South Korea,117.90,80.63,83.65,79.17,87.56,11.35,31.20,74.24,-,2014
547,29,Taiwan,114.06,82.31,78.53,78.33,60.20,17.33,27.60,70.81,-,2014
548,30,South Africa,111.61,95.97,21.47,59.44,48.55,3.45,41.31,57.93,-,2014
549,31,Slovakia,108.74,52.41,67.28,63.52,61.50,9.51,37.50,40.81,-,2014
550,32,Croatia,108.70,48.32,71.10,55.94,69.04,13.37,33.35,28.69,-,2014
551,33,Poland,95.19,57.60,62.47,54.83,53.68,11.37,35.32,50.54,-,2014
552,34,Uruguay,91.94,39.64,53.36,59.58,77.36,11.60,45.00,21.33,-,2014
553,35,Israel,91.16,69.29,66.72,75.43,91.45,12.83,46.38,63.75,-,2014
554,36,Italy,90.61,75.39,54.41,65.05,96.81,12.15,38.05,60.42,-,2014
555,37,Malaysia,89.05,70.46,33.59,69.35,48.66,8.04,38.70,61.12,-,2014
556,38,Singapore,87.99,64.11,78.65,61.82,100.01,22.59,47.82,41.93,-,2014
557,39,Mexico,83.47,60.46,47.54,70.64,46.96,6.47,38.96,71.17,-,2014
558,40,Hungary,83.18,44.89,62.48,46.58,59.27,9.63,34.83,48.33,-,2014
559,41,Argentina,81.12,57.08,42.52,76.75,66.85,8.95,45.00,57.45,-,2014
560,42,India,78.01,62.33,56.30,64.62,26.70,10.16,47.72,74.34,-,2014
561,43,Greece,77.48,44.27,56.95,59.02,83.79,11.74,36.98,45.28,-,2014
562,44,Bosnia And Herzegovina,74.60,44.52,55.02,54.42,49.76,11.97,22.56,58.22,-,2014
563,45,Belarus,74.43,33.93,67.11,48.02,50.35,16.81,24.83,42.72,-,2014
564,46,Hong Kong,73.24,71.39,77.32,71.83,76.36,27.06,47.73,63.79,-,2014
565,47,Chile,69.32,58.27,52.91,58.68,60.16,9.45,42.10,70.98,-,2014
566,48,Serbia,69.31,37.39,60.72,54.35,51.57,16.86,24.38,49.56,-,2014
567,49,Turkey,67.82,55.79,60.05,57.54,49.93,6.86,51.93,77.11,-,2014
568,50,Romania,63.27,36.51,71.27,47.27,48.20,13.24,33.29,62.55,-,2014
569,51,Bulgaria,62.60,37.39,59.98,58.04,49.96,9.87,34.69,66.72,-,2014
570,52,Thailand,56.64,36.96,62.44,85.44,45.95,19.07,32.82,71.13,-,2014
571,53,Ecuador,42.25,27.03,40.03,59.39,45.23,12.70,42.80,53.66,-,2014
572,54,Kazakhstan,40.64,37.29,50.59,60.19,63.15,11.35,40.00,74.36,-,2014
573,55,Jordan,39.54,38.30,52.42,74.10,61.46,7.95,60.20,81.84,-,2014
574,56,Brazil,38.76,43.29,33.00,53.72,60.60,14.96,43.02,57.58,-,2014
575,57,Colombia,36.53,33.45,41.46,68.52,50.37,14.23,46.15,65.67,-,2014
576,58,China,30.30,43.73,69.87,65.12,54.12,26.13,31.17,84.72,-,2014
577,59,Philippines,28.09,29.97,58.10,69.84,40.28,18.78,49.78,74.88,-,2014
578,60,Pakistan,22.32,31.53,36.25,50.40,29.69,13.92,25.12,80.25,-,2014
579,61,Ukraine,22.22,31.00,50.63,47.10,45.64,15.95,41.89,73.32,-,2014
580,62,Indonesia,21.85,26.44,53.33,60.23,39.00,18.79,41.07,73.78,-,2014
581,63,Lebanon,18.39,41.86,49.90,55.36,70.15,18.30,32.43,86.72,-,2014
582,64,Russia,16.53,37.30,47.33,43.45,61.80,14.67,49.69,76.45,-,2014
583,65,Egypt,5.41,25.57,47.57,61.30,38.26,11.09,60.83,91.23,-,2014
584,66,Iran,-11.08,30.33,44.99,48.60,49.51,20.63,54.45,86.07,-,2014
585,67,Mongolia,-26.75,25.59,33.77,27.23,57.36,15.70,36.86,94.98,-,2014
586,68,Venezuela,-39.32,17.87,18.50,41.05,114.36,20.19,38.75,73.96,-,2014
587,1,Switzerland,215.71,138.20,72.42,71.98,146.98,6.25,25.87,22.97,-,2013-Q1
588,2,Germany,204.84,118.00,76.14,73.25,87.56,5.00,31.89,28.43,-,2013-Q1
589,3,United States,199.56,138.38,46.56,67.76,79.57,2.20,39.54,32.53,-,2013-Q1
590,4,Sweden,191.36,108.25,68.19,78.70,110.72,8.75,27.90,18.79,-,2013-Q1
591,5,Canada,186.03,111.04,65.02,72.79,95.47,5.08,38.76,26.52,-,2013-Q1
592,6,United Arab Emirates,186.01,123.85,81.99,59.92,74.12,4.43,24.50,58.37,-,2013-Q1
593,7,Denmark,182.29,104.58,69.26,86.13,114.09,6.97,22.50,34.29,-,2013-Q1
594,8,Norway,173.86,97.29,74.39,80.51,164.92,7.30,27.08,23.35,-,2013-Q1
595,9,Qatar,169.92,140.57,73.83,68.06,80.92,5.43,30.50,82.76,-,2013-Q1
596,10,Austria,167.39,88.57,69.56,81.45,93.07,8.82,28.00,28.81,-,2013-Q1
597,11,Finland,167.21,95.65,67.31,76.41,101.72,9.38,49.00,18.53,-,2013-Q1
598,12,Australia,165.80,104.18,55.56,75.56,130.71,8.12,39.09,20.89,-,2013-Q1
599,13,New Zealand,163.17,85.55,58.21,76.04,110.45,5.94,26.57,21.80,-,2013-Q1
600,14,Netherlands,160.54,94.93,62.47,66.80,98.06,6.30,38.70,28.08,-,2013-Q1
601,15,Japan,159.79,87.68,86.89,80.09,113.21,8.32,50.30,33.68,-,2013-Q1
602,16,Estonia,154.95,54.02,75.77,78.06,67.23,9.26,23.17,16.38,-,2013-Q1
603,17,France,151.36,99.18,48.87,85.62,98.92,8.38,28.90,41.30,-,2013-Q1
604,18,Ireland,149.64,91.68,55.05,49.00,107.65,5.52,21.00,29.76,-,2013-Q1
605,19,United Kingdom,148.12,90.54,60.22,71.28,96.99,6.73,38.67,36.02,-,2013-Q1
606,20,Belgium,146.73,95.48,57.05,81.48,103.01,6.69,27.33,49.63,-,2013-Q1
607,21,Spain,141.05,83.67,65.88,75.61,79.25,9.63,26.42,46.52,-,2013-Q1
608,22,Saudi Arabia,140.49,116.10,68.26,34.17,71.28,3.11,15.75,80.55,-,2013-Q1
609,23,South Korea,135.62,95.57,82.60,80.56,79.71,12.46,21.50,75.57,-,2013-Q1
610,24,Slovenia,133.62,60.10,70.40,72.11,78.15,12.10,24.67,28.17,-,2013-Q1
611,25,South Africa,123.77,107.37,23.32,61.33,59.51,3.21,38.91,58.99,-,2013-Q1
612,26,Czech Republic,122.18,64.46,65.88,61.99,60.97,10.00,30.78,40.10,-,2013-Q1
613,27,Taiwan,120.57,74.17,83.74,81.25,66.76,9.02,38.33,71.48,-,2013-Q1
614,28,Portugal,119.76,54.59,65.04,61.63,71.77,8.06,27.88,35.00,-,2013-Q1
615,29,Puerto Rico,117.89,95.73,29.47,58.98,81.49,3.93,32.50,54.02,-,2013-Q1
616,30,Slovakia,114.58,54.24,64.84,59.95,62.69,7.91,41.00,34.40,-,2013-Q1
617,31,Lithuania,114.05,42.79,65.39,70.79,60.95,13.58,27.33,25.17,-,2013-Q1
618,32,Israel,99.34,73.52,51.74,87.04,90.18,10.31,46.60,59.54,-,2013-Q1
619,33,Hong Kong,94.27,81.17,83.43,71.06,76.23,23.93,43.88,64.95,-,2013-Q1
620,34,Poland,90.47,55.56,61.07,57.81,53.31,13.00,36.24,50.02,-,2013-Q1
621,35,Croatia,88.86,52.07,67.75,50.03,69.60,13.10,43.86,42.00,-,2013-Q1
622,36,Mexico,87.94,60.67,43.77,72.12,52.42,5.68,37.37,66.08,-,2013-Q1
623,37,Italy,87.36,75.76,50.54,64.78,98.09,13.00,38.43,58.86,-,2013-Q1
624,38,Panama,86.81,37.69,51.54,82.41,50.77,10.83,31.67,48.08,-,2013-Q1
625,39,Hungary,85.59,43.45,66.28,51.02,60.76,10.71,22.45,53.27,-,2013-Q1
626,40,Malaysia,79.74,71.79,32.25,59.65,54.13,6.79,38.64,67.35,-,2013-Q1
627,41,Uruguay,78.34,38.14,55.03,57.18,80.65,11.54,50.00,30.46,-,2013-Q1
628,42,Turkey,74.84,57.26,64.80,71.87,61.67,6.19,50.47,82.00,-,2013-Q1
629,43,India,73.70,62.71,57.88,62.68,30.24,9.96,50.64,77.48,-,2013-Q1
630,44,Chile,72.56,58.03,59.72,61.51,66.37,9.22,40.22,74.20,-,2013-Q1
631,45,Argentina,72.53,51.09,40.71,78.26,69.68,10.19,46.71,55.56,-,2013-Q1
632,46,Bosnia And Herzegovina,71.60,47.34,56.74,54.54,50.63,11.70,18.83,67.63,-,2013-Q1
633,47,Singapore,69.17,60.86,80.02,58.82,104.14,25.12,51.10,49.50,-,2013-Q1
634,48,Serbia,63.68,37.01,58.77,55.55,51.13,17.22,25.48,52.79,-,2013-Q1
635,49,Romania,57.75,36.35,69.98,46.13,49.46,14.25,34.85,63.34,-,2013-Q1
636,50,Greece,55.51,50.31,50.24,50.40,88.06,11.56,38.51,62.69,-,2013-Q1
637,51,Thailand,54.08,35.44,59.47,94.73,51.30,18.33,38.57,72.12,-,2013-Q1
638,52,Bulgaria,53.71,38.01,58.53,54.63,51.37,10.14,22.17,78.86,-,2013-Q1
639,53,Brazil,48.21,41.44,37.38,57.58,69.91,13.33,35.82,56.50,-,2013-Q1
640,54,Ecuador,37.68,25.99,40.26,64.81,46.02,13.33,43.00,58.55,-,2013-Q1
641,55,Georgia,35.74,29.00,80.43,68.98,53.24,33.80,20.00,64.83,-,2013-Q1
642,56,Colombia,35.05,29.44,45.84,77.31,57.25,15.46,43.57,68.26,-,2013-Q1
643,57,Ukraine,31.86,32.30,51.05,47.89,47.95,15.42,39.91,67.28,-,2013-Q1
644,58,China,31.50,42.41,73.13,60.86,60.72,22.22,30.50,89.35,-,2013-Q1
645,59,Philippines,21.08,25.98,45.06,73.70,47.79,16.38,46.75,74.84,-,2013-Q1
646,60,Russia,18.50,39.60,47.61,39.34,68.12,12.36,49.68,78.29,-,2013-Q1
647,61,Mongolia,14.08,28.40,53.13,43.06,61.95,13.00,26.67,88.97,-,2013-Q1
648,62,Lebanon,12.46,44.15,52.69,43.33,73.95,18.42,36.40,88.05,-,2013-Q1
649,63,Pakistan,7.67,26.38,38.48,47.88,32.83,17.49,16.00,86.96,-,2013-Q1
650,64,Egypt,7.59,27.41,51.33,59.08,44.12,12.33,59.00,89.86,-,2013-Q1
651,65,Iran,-6.96,35.75,43.85,45.66,56.97,16.33,58.28,90.23,-,2013-Q1
652,66,Indonesia,-12.54,24.61,59.51,48.52,46.01,24.75,54.38,85.14,-,2013-Q1
653,67,Venezuela,-48.27,18.71,14.30,44.44,110.55,20.78,38.75,81.89,-,2013-Q1
654,1,Switzerland,194.11,127.42,74.22,79.51,148.69,6.53,30.88,35.49,-,2012-Q1
655,2,Germany,184.42,114.22,78.80,71.96,92.83,4.80,33.12,45.14,-,2012-Q1
656,3,Norway,183.43,94.21,80.93,79.04,166.65,7.10,18.50,19.22,-,2012-Q1
657,4,United Arab Emirates,177.07,134.89,64.05,63.89,80.79,4.49,17.00,69.17,-,2012-Q1
658,5,New Zealand,174.28,88.59,53.19,86.81,107.37,5.71,25.25,17.08,-,2012-Q1
659,6,Sweden,171.72,99.33,63.76,86.76,109.02,9.01,23.00,32.50,-,2012-Q1
660,7,Canada,164.99,110.72,60.18,71.99,101.70,4.85,40.44,41.59,-,2012-Q1
661,8,Denmark,163.12,99.26,54.69,89.81,125.72,6.13,31.00,34.17,-,2012-Q1
662,9,Australia,162.03,108.67,59.38,79.11,130.28,6.94,37.09,37.25,-,2012-Q1
663,10,Austria,159.89,98.78,55.92,83.18,98.44,6.69,23.00,42.84,-,2012-Q1
664,11,Netherlands,158.07,93.65,71.60,70.37,108.48,6.34,26.83,41.67,-,2012-Q1
665,12,United States,140.62,118.75,35.07,65.52,85.55,2.82,36.36,61.27,-,2012-Q1
666,13,Japan,130.52,83.62,94.25,96.11,136.69,16.88,46.50,52.50,-,2012-Q1
667,14,Ireland,125.14,84.79,53.93,41.06,114.29,5.89,11.67,45.17,-,2012-Q1
668,15,Slovenia,121.94,57.17,64.29,82.87,78.63,13.41,24.67,35.00,-,2012-Q1
669,16,France,119.51,90.90,55.24,80.74,103.90,10.54,29.00,61.82,-,2012-Q1
670,17,Israel,118.25,73.81,59.22,91.67,98.66,9.51,46.60,48.75,-,2012-Q1
671,18,United Kingdom,110.09,89.77,53.96,76.04,109.44,7.38,44.17,64.43,-,2012-Q1
672,19,Portugal,105.10,56.85,59.36,69.96,73.97,7.77,28.00,51.91,-,2012-Q1
673,20,Spain,100.93,86.18,67.04,69.92,84.48,9.87,26.45,85.62,-,2012-Q1
674,21,Belgium,100.68,84.58,59.38,82.22,114.29,6.30,21.50,88.33,-,2012-Q1
675,22,Croatia,93.06,50.65,67.58,65.00,70.77,11.59,37.00,49.94,-,2012-Q1
676,23,Czech Republic,88.14,58.43,63.41,65.00,65.19,10.99,28.67,65.99,-,2012-Q1
677,24,Singapore,87.08,91.24,79.79,58.97,101.03,17.16,66.25,70.83,-,2012-Q1
678,25,South Africa,83.59,99.97,21.88,59.54,76.89,2.99,34.50,88.96,-,2012-Q1
679,26,Saudi Arabia,71.02,80.41,67.52,40.74,97.40,2.77,15.75,112.50,-,2012-Q1
680,27,Turkey,66.70,52.76,73.62,69.97,68.12,5.65,54.22,89.23,-,2012-Q1
681,28,Malaysia,65.31,72.13,29.12,69.06,56.00,4.77,32.40,91.25,-,2012-Q1
682,29,Poland,60.63,58.88,61.30,55.79,52.96,12.32,36.27,83.75,-,2012-Q1
683,30,Mexico,60.31,59.33,37.46,80.06,56.41,5.84,31.33,93.50,-,2012-Q1
684,31,Italy,49.65,67.73,43.33,67.77,99.07,12.63,37.81,85.48,-,2012-Q1
685,32,Hungary,48.74,38.08,69.53,59.95,63.40,10.60,24.67,90.25,-,2012-Q1
686,33,India,44.01,62.05,54.36,59.42,34.28,9.80,48.33,102.91,-,2012-Q1
687,34,Indonesia,37.22,20.09,76.13,94.12,51.49,39.78,36.67,43.84,-,2012-Q1
688,35,Serbia,34.59,31.08,71.30,57.41,54.28,19.51,25.65,80.97,-,2012-Q1
689,36,Argentina,32.58,40.48,51.62,76.74,68.05,11.83,45.40,90.00,-,2012-Q1
690,37,Bulgaria,30.77,34.73,58.63,60.30,53.69,10.35,26.33,98.48,-,2012-Q1
691,38,Bosnia And Herzegovina,28.04,42.86,59.69,57.41,53.37,10.85,17.00,112.42,-,2012-Q1
692,39,Romania,25.52,33.16,70.41,48.41,50.95,15.65,32.47,91.92,-,2012-Q1
693,40,Thailand,24.89,33.42,60.33,92.59,52.94,16.75,38.75,101.61,-,2012-Q1
694,41,Colombia,23.38,28.95,52.79,88.89,61.70,14.41,44.00,91.46,-,2012-Q1
695,42,Greece,23.28,44.99,47.97,51.76,97.85,11.05,38.22,87.77,-,2012-Q1
696,43,Chile,21.04,51.02,43.65,59.26,70.20,9.37,41.62,103.75,-,2012-Q1
697,44,Brazil,10.81,31.73,40.74,59.09,87.64,15.28,30.00,82.92,-,2012-Q1
698,45,Pakistan,-3.05,26.24,41.29,60.42,36.45,20.18,13.00,101.33,-,2012-Q1
699,46,Philippines,-3.77,28.37,46.91,76.11,44.85,8.66,54.89,116.65,-,2012-Q1
700,47,Russia,-7.39,44.05,49.43,35.52,69.37,14.41,47.83,104.67,-,2012-Q1
701,48,Ukraine,-14.61,27.22,44.61,40.28,51.68,16.68,33.00,100.24,-,2012-Q1
702,49,Egypt,-22.17,27.17,55.69,65.74,50.77,11.81,59.00,125.71,-,2012-Q1
703,50,Iran,-35.23,46.38,48.14,43.40,54.32,12.48,73.50,131.85,-,2012-Q1
704,51,China,-49.55,33.50,55.53,36.15,51.63,29.90,29.67,122.80,-,2012-Q1
